organization_id,incremental_id,branch_number,branch_description,branch_code,branch_abb,business_type,level_1,level1_desc,level_2,level2_desc
1,1,20903,ISLAMABAD,ISB,ISB,C,2,NORTH ZONE,209,ISLAMABAD
1,2,20904,ISLAMABAD-II Branch,ISB-II,ISB-II,C,2,NORTH ZONE,209,ISLAMABAD
1,3,20905,ISLAMABAD-III Branch,ISB-III,ISB-III,C,2,NORTH ZONE,209,ISLAMABAD
1,4,21202,GUJRANWALA (GTR) Closed,GTR,GTR,C,2,NORTH ZONE,212,GUJRANWALA (Closed)
1,5,21201,GUJRANWALA (Closed),GWL,GUJ-C,C,2,NORTH ZONE,212,GUJRANWALA (Closed)
1,6,20111,TRAVEL INSURANCE,TRV,TRV,C,2,NORTH ZONE,201,LAHORE
1,7,20112,LAHORE BRANCH-II,LHR-II,LHR-II,C,2,NORTH ZONE,201,LAHORE
1,8,20101,AL-NOOR BRANCH,ALN,ALN,C,2,NORTH ZONE,201,LAHORE
1,9,20102,MRB (CLOSED),MRB,MRB,C,2,NORTH ZONE,201,LAHORE
1,10,20103,GULBERG BRANCH,FJRB,GUL,C,2,NORTH ZONE,201,LAHORE
1,11,20104,NAPIER ROAD BRANCH,NRB,NRB,C,2,NORTH ZONE,201,LAHORE
1,12,20105,HEAD OFFICE,HO,HO,C,2,NORTH ZONE,201,LAHORE
1,13,20106,HONDA ATLAS CARS BRANCH,HAC,HACPL,C,2,NORTH ZONE,201,LAHORE
1,14,20107,CITY BRANCH LHR,CI,CITY,C,2,NORTH ZONE,201,LAHORE
1,15,20108,QUEENS ROAD (CLOSED),QRB,QRB,C,2,NORTH ZONE,201,LAHORE
1,16,20110,Lahore Branch,LB,LHR,C,2,NORTH ZONE,201,LAHORE
1,17,20113,MAIN BOULEVARD BRANCH (CLosed),MBB,MBB,C,2,NORTH ZONE,201,LAHORE
1,18,20114,MAIN BOULEVARD BRANCH-2,MBB-II,MBB2,C,2,NORTH ZONE,201,LAHORE
1,19,20115,DHA Branch Lahore,DHA,DHA,C,2,NORTH ZONE,201,LAHORE
1,20,20116,Honda Branded Insurance,HBI,HBI,C,2,NORTH ZONE,201,LAHORE
1,21,20117,Lahore Direct,LHD,LHD,C,2,NORTH ZONE,201,LAHORE
1,22,20118,Lahore Corporate,LHC,LHC,C,2,NORTH ZONE,201,LAHORE
1,23,21301,MALL ROAD BRANCH,FTB,MALL,C,2,NORTH ZONE,213,GULBERG BRANCH
1,24,21401,Re-Insurance,RE,RE,C,2,NORTH ZONE,214,Re-Insurance
1,25,20603,PEOPLES COLONY BRANCH (Closed),PCB,PCB,C,2,NORTH ZONE,206,FAISALABAD
1,26,20601,FSD-I (CLOSED),FSD-I,FSD-I,C,2,NORTH ZONE,206,FAISALABAD
1,27,20602,FAISALABAD BRANCH,FSD-II,FSD-II,C,2,NORTH ZONE,206,FAISALABAD
1,28,20604,FAISALABAD BRANCH - III (CLOSED),FD-III,FSD-C,C,2,NORTH ZONE,206,FAISALABAD
1,29,20605,BUSINESS CENTRE BRANCH FAISALABAD,BCF,BCF,C,2,NORTH ZONE,206,FAISALABAD
1,30,20201,RAWALPINDI BRANCH,RWP,RWP,C,2,NORTH ZONE,202,RAWALPINDI
1,31,20202,RAWALPINDI BRANCH-II,RWP-II,RWP-II,C,2,NORTH ZONE,202,RAWALPINDI
1,32,20203,RAWALPINDI CORPORATE,RWPC,RWPC,C,2,NORTH ZONE,202,RAWALPINDI
1,33,20301,SIALKOT BRANCH,SKT,SLK,C,2,NORTH ZONE,203,SIALKOT
1,34,20401,SAHIWAL BRANCH (Closed),SHL,SHL,C,2,NORTH ZONE,204,SAHIWAL
1,35,20402,SAHIWAL BRANCH,SWL,SWL,C,2,NORTH ZONE,204,SAHIWAL
1,36,20501,MULTAN BRANCH,MUL,MUL,C,2,NORTH ZONE,205,MULTAN
1,37,21001,REG.GWL-I (CLOSED),GW,GUJ-C,C,2,NORTH ZONE,210,GUJRANWALA (CLOSED)
1,38,21002,GUJRANWALA (CLOSED),GW,GUJ-C,C,2,NORTH ZONE,210,GUJRANWALA (CLOSED)
1,39,10112,NEW CHALLI BRANCH (ZAM),ZAM,NCB,C,1,SOUTH ZONE(Sindh & Balochistan),101,KARACHI 
1,40,10101,KARACHI CORPORATE,KAR,KAR,C,1,SOUTH ZONE(Sindh & Balochistan),101,KARACHI 
1,41,10102,PLAZA BRANCH,PB,PLAZA,C,1,SOUTH ZONE(Sindh & Balochistan),101,KARACHI 
1,42,10103,T.R.B. BRANCH,TRB,TWR,C,1,SOUTH ZONE(Sindh & Balochistan),101,KARACHI 
1,43,10104,CORPORATE BRANCH,CORP,CORP,C,1,SOUTH ZONE(Sindh & Balochistan),101,KARACHI 
1,44,10105,GROUP SOUTH BRANCH,GRPS,GRP-S,C,1,SOUTH ZONE(Sindh & Balochistan),101,KARACHI 
1,45,10110,NEW CHALLI BRANCH (CLOSED),NCB,NCB-C,C,1,SOUTH ZONE(Sindh & Balochistan),101,KARACHI 
1,46,10111,KARACHI-1 BRANCH,KHI-1,KHI-1,C,1,SOUTH ZONE(Sindh & Balochistan),101,KARACHI 
1,47,10113,NEW CHALLI BRANCH-2,NCB-II,NCB-II,C,1,SOUTH ZONE(Sindh & Balochistan),101,KARACHI 
1,48,10114,DHA BRANCH KARACHI,SDR,SDR,C,1,SOUTH ZONE(Sindh & Balochistan),101,KARACHI 
1,49,10115,Karachi Direct Branch,KARD,KARD,C,1,SOUTH ZONE(Sindh & Balochistan),101,KARACHI 
1,50,10201,HYDERABAD BRANCH,HYD,HYD,C,1,SOUTH ZONE(Sindh & Balochistan),102,HYDERABAD
1,51,10301,SUKKUR BRANCH,SUK,SUK,C,1,SOUTH ZONE(Sindh & Balochistan),103,SUKKUR
1,52,61301,MALL ROAD BRANCH WINDOW TAKAFUL OPERATIONS,FTBT,MALLT,T,6,NORTH ZONE WINDOW TAKAFUL OPERATIONS,613,GULBERG BRANCH WINDOW TAKAFUL OPERATIONS
