organization_id,incremental_id,gl_code,gl_desc
1,1,01001001019,OIL & GAS EXPLORATION COS
1,2,01001001020,ENGINEERING
1,3,01001001021,AUTOMOBILE ASSEMBLER
1,4,01001001022,CABLES & ELECT. GOODS
1,5,01001001023,TRANSPORT
1,6,01001001024,TECHNOLOGY & COMM
1,7,01001001025,FERTILIZER
1,8,01001001026,PHARMACEUTICAL
1,9,01001001027,CHEMICAL
1,10,01001001028,PAPER & BOARD
1,11,01001001029,VANASPATI & ALLIED IND.
1,12,01001001030,LEATHER & TANNERIES
1,13,01001001031,FOOD & PERSONAL CARE PRODUCTS
1,14,01001001032,GLASS & CERAMICS
1,15,01001001033,MISCELLANEOUS
1,16,01001001001,INVESTMENT IN ORDINARY SHARES
1,17,01001001002,INVESTMENT ON TFCS and T-Bills
1,18,01001001003,INVESTMENT ON BONDS
1,19,01001001004,INVESTMENT ON TERM DEPOSIT
1,20,01001001005,INVESTMENT ON STATUTORY DEPOSIT
1,21,01001001006,INVESTMENT IN MUTUAL FUNDS
1,22,01001001007,TEXTILE SPINNING
1,23,01001001008,TEXTILE WEAVING
1,24,01001001009,TEXTILE COMPOSITE
1,25,01001001010,WOOLLEN
1,26,01001001011,SYNTHETIC & RAYON
1,27,01001001012,JUTE
1,28,01001001013,SUGAR & ALLIED IND.
1,29,01001001014,CEMENT
1,30,01001001015,TOBACCO
1,31,01001001016,REFINERY
1,32,01001001017,POWER GENERATION & DISTRIBUTION
1,33,01001001018,OIL & GAS MARKETING CO.
1,34,01001001037,UNAMORTIZED PREMIUM ON STATUTORY DEPOSIT
1,35,01001001036,BANKING
1,36,01001001034,INVESTMENT IN CFS
1,37,01001001035,ATLAS ISLAMIC FUND
1,38,01001001038,Investment in Mudarba/SMC (SHF)
1,39,01012001009,ADVANCE FOR EXPENSES
1,40,01012001010,INCOME TAX PAID
1,41,01012001011,HOUSE RENT ADVANCE TO STAFF
1,42,01012001012,RECEIVABLE CLAIMS
1,43,01012001013,GM SYSTEM (PVT) LTD.
1,44,01012001001,LOAN TO STAFF
1,45,01012001002,ADVANCE TO STAFF
1,46,01012001003,RENT PAID IN ADVANCE
1,47,01012001004,PRE-PAID EXPENSES
1,48,01012001005,ACCOUNTS RECEIVABLE
1,49,01012001006,COMMISSION INCOME RECEIVABLE
1,50,01012001007,SERVICE CHARGES RECEIVABLE
1,51,01012001008,SECURITY DEPOSIT
1,52,01012001016,SALVAGE RECOVERY ACCROUED
1,53,01012001014,ADVANCE AGAINST BUILIDNG RENOVATION
1,54,01012001017,SALVAGE RECEIVABLE
1,55,01012001018,INTEREST INCOME RECEIVABLE
1,56,01012001015,DIVIDEND INCOME RECEIVABLE
1,57,01012001020,RECEIVABLE CLAIMS AGAINST FOREIGN FAC. BUSINESS
